"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36037",2017,"Genesee","NA County","B03002_005","Native American (Non-Hispanic)",0.949826605394879,0.191331978065155
"36037",2017,"Genesee","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0,0.0461246732835642
"36037",2017,"Genesee","NA County","B03002_008","Other (Non-Hispanic)",0.109332558894374,0.0700411705417087
"36037",2017,"Genesee","NA County","B03002_009","Two or More Races (Non-Hispanic)",2.034610588175,0.368997386268514
"36123",2017,"Yates","NA County","B03002_003","White (Non-Hispanic)",94.9049156799426,0.247179364509827
"36123",2017,"Yates","NA County","B03002_004","Black (Non-Hispanic)",0.992704221983016,0.247179364509827
"36123",2017,"Yates","NA County","B03002_012","Hispanic or Latino (Any Race)",2.16082605748914,0
"36123",2017,"Yates","NA County","B03002_006","Asian (Non-Hispanic)",0.657816050711637,0.135549974086034
"36123",2017,"Yates","NA County","B03002_005","Native American (Non-Hispanic)",0.0717617509867241,0.0837220428178447
"36123",2017,"Yates","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.00797352788741379,0.0119602918311207
"36123",2017,"Yates","NA County","B03002_008","Other (Non-Hispanic)",0.199338197185345,0.211298489016465
"36123",2017,"Yates","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.00466451381414,0.310967587609138
"36117",2018,"Wayne","NA County","B03002_003","White (Non-Hispanic)",90.1492471603416,0.0550321387690411
"36117",2018,"Wayne","NA County","B03002_004","Black (Non-Hispanic)",2.85506735933785,0.203618913445452
"36117",2018,"Wayne","NA County","B03002_012","Hispanic or Latino (Any Race)",4.26829268292683,0
"36117",2018,"Wayne","NA County","B03002_006","Asian (Non-Hispanic)",0.653781808576208,0.129875847494937
"36117",2018,"Wayne","NA County","B03002_005","Native American (Non-Hispanic)",0.128775204719556,0.0726424231751343
"36117",2018,"Wayne","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0858501364797041,0.0891520648058466
"36117",2018,"Wayne","NA County","B03002_008","Other (Non-Hispanic)",0.0484282821167562,0.0341199260368055
"36117",2018,"Wayne","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.81055736550145,0.235537553931496
"36099",2018,"Seneca","NA County","B03002_003","White (Non-Hispanic)",89.1973881890674,0.0202241996995262
"36099",2018,"Seneca","NA County","B03002_004","Black (Non-Hispanic)",4.67179013059055,0.326476366578065
"36099",2018,"Seneca","NA County","B03002_012","Hispanic or Latino (Any Race)",3.34566046457876,0
"36099",2018,"Seneca","NA County","B03002_006","Asian (Non-Hispanic)",0.699179475326476,0.11845602681151
"36099",2018,"Seneca","NA County","B03002_005","Native American (Non-Hispanic)",0.390038137062291,0.147347740667976
"36099",2018,"Seneca","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0,0.0722292846411649
"36099",2018,"Seneca","NA County","B03002_008","Other (Non-Hispanic)",0.0231133710851728,0.0404483993990524
"36099",2018,"Seneca","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.67283023228938,0.364035594591471
"36069",2018,"Ontario","NA County","B03002_003","White (Non-Hispanic)",90.0211926337328,0.106876644256065
"36069",2018,"Ontario","NA County","B03002_004","Black (Non-Hispanic)",2.28642940660626,0.196397252265419
"36069",2018,"Ontario","NA County","B03002_012","Hispanic or Latino (Any Race)",4.62035954399298,0
"36069",2018,"Ontario","NA County","B03002_006","Asian (Non-Hispanic)",1.32910698626133,0.162598655363929
"36069",2018,"Ontario","NA County","B03002_005","Native American (Non-Hispanic)",0.204618532592809,0.0849532300496931
"36069",2018,"Ontario","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0337985969014908,0.0438468284127448
"36069",2018,"Ontario","NA County","B03002_008","Other (Non-Hispanic)",0.200051154633148,0.105963168664133
"36069",2018,"Ontario","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.30444314527916,0.279523531131248
"36073",2018,"Orleans","NA County","B03002_003","White (Non-Hispanic)",86.5136612021858,0.0267152398299939
"36073",2018,"Orleans","NA County","B03002_004","Black (Non-Hispanic)",5.9672131147541,0.517304189435337
"36073",2018,"Orleans","NA County","B03002_012","Hispanic or Latino (Any Race)",4.76259866423801,0
"36073",2018,"Orleans","NA County","B03002_006","Asian (Non-Hispanic)",0.718882817243473,0.0461445051608986
"36073",2018,"Orleans","NA County","B03002_005","Native American (Non-Hispanic)",0.366727383120826,0.16514875531269
"36073",2018,"Orleans","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0510018214936248,0.0825743776563449
"36073",2018,"Orleans","NA County","B03002_008","Other (Non-Hispanic)",0.0218579234972678,0.0364298724954463
"36073",2018,"Orleans","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.59805707346691,0.544019429265331
"36055",2018,"Monroe","NA County","B03002_003","White (Non-Hispanic)",70.826794294375,0.0502520665154626
"36055",2018,"Monroe","NA County","B03002_004","Black (Non-Hispanic)",14.4721920650106,0.134229450398254
"36055",2018,"Monroe","NA County","B03002_012","Hispanic or Latino (Any Race)",8.54970386215347,0
"36055",2018,"Monroe","NA County","B03002_006","Asian (Non-Hispanic)",3.52825939740517,0.0763186464726811
"36055",2018,"Monroe","NA County","B03002_005","Native American (Non-Hispanic)",0.167417312508734,0.0253947608861562
"36055",2018,"Monroe","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0151831110060087,0.00685255452483581
"36055",2018,"Monroe","NA County","B03002_008","Other (Non-Hispanic)",0.170910771678258,0.0550891638271114
"36055",2018,"Monroe","NA County","B03002_009","Two or More Races (Non-Hispanic)",2.26953918586278,0.160833485612323
"36051",2018,"Livingston","NA County","B03002_003","White (Non-Hispanic)",90.9321357597759,0.0391193452986371
"36051",2018,"Livingston","NA County","B03002_004","Black (Non-Hispanic)",2.65385638505954,0.178384214561785
"36051",2018,"Livingston","NA County","B03002_012","Hispanic or Latino (Any Race)",3.47849218395481,0
"36051",2018,"Livingston","NA County","B03002_006","Asian (Non-Hispanic)",1.30345658535059,0.173689893125949
"36051",2018,"Livingston","NA County","B03002_005","Native American (Non-Hispanic)",0.179948988373731,0.101710297776456
"36051",2018,"Livingston","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0344250238628006,0.0578966310419829
"36051",2018,"Livingston","NA County","B03002_008","Other (Non-Hispanic)",0.106404619212293,0.0891921072808926
"36051",2018,"Livingston","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.31128045441031,0.233151297979877
"36037",2018,"Genesee","NA County","B03002_003","White (Non-Hispanic)",90.6817868942731,0.0550660792951542
"36037",2018,"Genesee","NA County","B03002_004","Black (Non-Hispanic)",2.14929790748899,0.387183370044053
