"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"3605554474",2017,"Monroe","Ogden town","B03002_009","Two or More Races (Non-Hispanic)",1.39645439239378,0.673465488445289
"3605557144",2017,"Monroe","Penfield town","B03002_003","White (Non-Hispanic)",88.2507719156934,1.90514128980275
"3605557144",2017,"Monroe","Penfield town","B03002_004","Black (Non-Hispanic)",2.62048597127131,1.08470756800013
"3605557144",2017,"Monroe","Penfield town","B03002_012","Hispanic or Latino (Any Race)",4.43012484897302,1.55725244610329
"3605557144",2017,"Monroe","Penfield town","B03002_006","Asian (Non-Hispanic)",3.07423815277218,0.843063015532776
"3605557144",2017,"Monroe","Penfield town","B03002_005","Native American (Non-Hispanic)",0.13693113169553,0.14498586760314
"3605557144",2017,"Monroe","Penfield town","B03002_007","Pacific Islander (Non-Hispanic)",0.0375889381124983,0.0510135510401548
"3605557144",2017,"Monroe","Penfield town","B03002_008","Other (Non-Hispanic)",0.0375889381124983,0.0617532490049098
"3605557144",2017,"Monroe","Penfield town","B03002_009","Two or More Races (Non-Hispanic)",1.41227010336958,0.528928992141526
"3605563000",2017,"Monroe","Rochester city","B03002_003","White (Non-Hispanic)",36.8122293674778,0.757568215638772
"3605563000",2017,"Monroe","Rochester city","B03002_004","Black (Non-Hispanic)",38.5194521228093,0.68307416350141
"3605563000",2017,"Monroe","Rochester city","B03002_012","Hispanic or Latino (Any Race)",17.7659061504896,0.567616062658975
"3605563000",2017,"Monroe","Rochester city","B03002_006","Asian (Non-Hispanic)",3.21870688379332,0.398637209906459
"3605563000",2017,"Monroe","Rochester city","B03002_005","Native American (Non-Hispanic)",0.216744723411772,0.0720890736233877
"3605563000",2017,"Monroe","Rochester city","B03002_007","Pacific Islander (Non-Hispanic)",0.0181416288318223,0.0190964505974383
"3605563000",2017,"Monroe","Rochester city","B03002_008","Other (Non-Hispanic)",0.251118335935225,0.102643397607824
"3605563000",2017,"Monroe","Rochester city","B03002_009","Two or More Races (Non-Hispanic)",3.19770078725121,0.424894920358825
"3605508246",2017,"Monroe","Brighton town","B03002_003","White (Non-Hispanic)",76.3039751856991,2.3337267861482
"3605508246",2017,"Monroe","Brighton town","B03002_004","Black (Non-Hispanic)",5.92332598699426,1.15091696499015
"3605508246",2017,"Monroe","Brighton town","B03002_012","Hispanic or Latino (Any Race)",4.11122901531848,1.26791955706841
"3605508246",2017,"Monroe","Brighton town","B03002_006","Asian (Non-Hispanic)",10.8399314341686,1.27333671288356
"3605508246",2017,"Monroe","Brighton town","B03002_005","Native American (Non-Hispanic)",0.321062226212826,0.195902211514257
"3605508246",2017,"Monroe","Brighton town","B03002_007","Pacific Islander (Non-Hispanic)",0.0326503958860501,0.0544173203782908
"3605508246",2017,"Monroe","Brighton town","B03002_008","Other (Non-Hispanic)",0.0979511876581503,0.103392891418384
"3605508246",2017,"Monroe","Brighton town","B03002_009","Two or More Races (Non-Hispanic)",2.36987456806247,0.802653387308262
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_003","White (Non-Hispanic)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_004","Black (Non-Hispanic)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_012","Hispanic or Latino (Any Race)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_006","Asian (Non-Hispanic)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_005","Native American (Non-Hispanic)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_007","Pacific Islander (Non-Hispanic)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_008","Other (Non-Hispanic)",0,0
"3605500000",2017,"Monroe","County subdivisions not defined","B03002_009","Two or More Races (Non-Hispanic)",0,0
"3605522870",2017,"Monroe","East Rochester town","B03002_003","White (Non-Hispanic)",82.8167318687933,6.58306326812805
"3605522870",2017,"Monroe","East Rochester town","B03002_004","Black (Non-Hispanic)",7.17724947336744,6.07878446253772
"3605522870",2017,"Monroe","East Rochester town","B03002_012","Hispanic or Latino (Any Race)",5.13090580800481,2.45252712491735
"3605522870",2017,"Monroe","East Rochester town","B03002_006","Asian (Non-Hispanic)",0.36111947035811,0.376163662208527
"3605522870",2017,"Monroe","East Rochester town","B03002_005","Native American (Non-Hispanic)",0.331026181161601,0.391210777835385
"3605522870",2017,"Monroe","East Rochester town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.240746313572073
"3605522870",2017,"Monroe","East Rochester town","B03002_008","Other (Non-Hispanic)",0,0.240746313572073
"3605522870",2017,"Monroe","East Rochester town","B03002_009","Two or More Races (Non-Hispanic)",4.18296719831478,2.7233972170758
"3605530290",2017,"Monroe","Greece town","B03002_003","White (Non-Hispanic)",83.0806881311828,1.13928794449875
"3605530290",2017,"Monroe","Greece town","B03002_004","Black (Non-Hispanic)",6.29685467049421,0.831245285880747
"3605530290",2017,"Monroe","Greece town","B03002_012","Hispanic or Latino (Any Race)",5.34375580843023,0.822985938616824
"3605530290",2017,"Monroe","Greece town","B03002_006","Asian (Non-Hispanic)",2.612502839677,0.542118671766427
"3605530290",2017,"Monroe","Greece town","B03002_005","Native American (Non-Hispanic)",0.168315400342826,0.0939674579363864
"3605530290",2017,"Monroe","Greece town","B03002_007","Pacific Islander (Non-Hispanic)",0.0309782945416245,0.0351087305947143
"3605530290",2017,"Monroe","Greece town","B03002_008","Other (Non-Hispanic)",0.339728630139815,0.339728590129646
"3605530290",2017,"Monroe","Greece town","B03002_009","Two or More Races (Non-Hispanic)",2.12717622519155,0.527662607102291
"3605531797",2017,"Monroe","Hamlin town","B03002_003","White (Non-Hispanic)",93.7094468272297,3.06373165138227
"3605531797",2017,"Monroe","Hamlin town","B03002_004","Black (Non-Hispanic)",3.06829429231277,2.62837597494809
"3605531797",2017,"Monroe","Hamlin town","B03002_012","Hispanic or Latino (Any Race)",1.41867370504784,1.02275405409894
"3605531797",2017,"Monroe","Hamlin town","B03002_006","Asian (Non-Hispanic)",0.395908940943583,0.285931251634043
"3605531797",2017,"Monroe","Hamlin town","B03002_005","Native American (Non-Hispanic)",0,0.175959529308259
"3605531797",2017,"Monroe","Hamlin town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.175959529308259
"3605531797",2017,"Monroe","Hamlin town","B03002_008","Other (Non-Hispanic)",0,0.175959529308259
"3605531797",2017,"Monroe","Hamlin town","B03002_009","Two or More Races (Non-Hispanic)",1.40767623446607,1.05574696077013
"3605546558",2017,"Monroe","Mendon town","B03002_003","White (Non-Hispanic)",94.7459459459459,2.11033061857057
"3605546558",2017,"Monroe","Mendon town","B03002_004","Black (Non-Hispanic)",0.562162162162162,0.464861750277228
"3605546558",2017,"Monroe","Mendon town","B03002_012","Hispanic or Latino (Any Race)",1.18918918918919,0.918911868271792
"3605546558",2017,"Monroe","Mendon town","B03002_006","Asian (Non-Hispanic)",2.11891891891892,1.61079804088234
"3605546558",2017,"Monroe","Mendon town","B03002_005","Native American (Non-Hispanic)",0.108108108108108,0.172972663415513
"3605546558",2017,"Monroe","Mendon town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.172972972972973
"3605546558",2017,"Monroe","Mendon town","B03002_008","Other (Non-Hispanic)",0,0.172972972972973
