"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36123",2017,"Yates","NA County","B19013H_001","White (Non-Hispanic)",52513,3012
"36123",2017,"Yates","NA County","B19013I_001","Hispanic or Latino (Any Race)",65298,37453
"36037",2018,"Genesee","NA County","B19013B_001","Black (Non-Hispanic)",28750,7457
"36037",2018,"Genesee","NA County","B19013C_001","Native American (Non-Hispanic)",43971,11951
"36037",2018,"Genesee","NA County","B19013D_001","Asian (Non-Hispanic)",159196,107206
"36037",2018,"Genesee","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36037",2018,"Genesee","NA County","B19013F_001","Other (Non-Hispanic)",32028,8387
"36037",2018,"Genesee","NA County","B19013G_001","Two or More Races (Non-Hispanic)",31449,1928
"36037",2018,"Genesee","NA County","B19013H_001","White (Non-Hispanic)",62709,2878
"36037",2018,"Genesee","NA County","B19013I_001","Hispanic or Latino (Any Race)",31926,5357
"36051",2018,"Livingston","NA County","B19013B_001","Black (Non-Hispanic)",21333,10910
"36051",2018,"Livingston","NA County","B19013C_001","Native American (Non-Hispanic)",41471,39818
"36051",2018,"Livingston","NA County","B19013D_001","Asian (Non-Hispanic)",59583,42574
"36051",2018,"Livingston","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36051",2018,"Livingston","NA County","B19013F_001","Other (Non-Hispanic)",36210,25273
"36051",2018,"Livingston","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36051",2018,"Livingston","NA County","B19013H_001","White (Non-Hispanic)",57130,1948
"36051",2018,"Livingston","NA County","B19013I_001","Hispanic or Latino (Any Race)",44531,12633
"36055",2018,"Monroe","NA County","B19013B_001","Black (Non-Hispanic)",30034,1170
"36055",2018,"Monroe","NA County","B19013C_001","Native American (Non-Hispanic)",26174,2397
"36055",2018,"Monroe","NA County","B19013D_001","Asian (Non-Hispanic)",62159,4736
"36055",2018,"Monroe","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36055",2018,"Monroe","NA County","B19013F_001","Other (Non-Hispanic)",31164,2017
"36055",2018,"Monroe","NA County","B19013G_001","Two or More Races (Non-Hispanic)",41198,6230
"36055",2018,"Monroe","NA County","B19013H_001","White (Non-Hispanic)",66410,889
"36055",2018,"Monroe","NA County","B19013I_001","Hispanic or Latino (Any Race)",31331,2024
"36069",2018,"Ontario","NA County","B19013B_001","Black (Non-Hispanic)",32037,13246
"36069",2018,"Ontario","NA County","B19013C_001","Native American (Non-Hispanic)",75850,59360
"36069",2018,"Ontario","NA County","B19013D_001","Asian (Non-Hispanic)",85905,24206
"36069",2018,"Ontario","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36069",2018,"Ontario","NA County","B19013F_001","Other (Non-Hispanic)",34167,17101
"36069",2018,"Ontario","NA County","B19013G_001","Two or More Races (Non-Hispanic)",36724,8986
"36069",2018,"Ontario","NA County","B19013H_001","White (Non-Hispanic)",65262,1802
"36069",2018,"Ontario","NA County","B19013I_001","Hispanic or Latino (Any Race)",35773,4345
"36073",2018,"Orleans","NA County","B19013B_001","Black (Non-Hispanic)",45938,33593
"36073",2018,"Orleans","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36073",2018,"Orleans","NA County","B19013D_001","Asian (Non-Hispanic)",108000,33436
"36073",2018,"Orleans","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36073",2018,"Orleans","NA County","B19013F_001","Other (Non-Hispanic)",18400,2536
"36073",2018,"Orleans","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36073",2018,"Orleans","NA County","B19013H_001","White (Non-Hispanic)",52935,2058
"36073",2018,"Orleans","NA County","B19013I_001","Hispanic or Latino (Any Race)",22475,21817
"36099",2018,"Seneca","NA County","B19013B_001","Black (Non-Hispanic)",36094,27714
"36099",2018,"Seneca","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36099",2018,"Seneca","NA County","B19013D_001","Asian (Non-Hispanic)",NA,NA
"36099",2018,"Seneca","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36099",2018,"Seneca","NA County","B19013F_001","Other (Non-Hispanic)",35750,30205
"36099",2018,"Seneca","NA County","B19013G_001","Two or More Races (Non-Hispanic)",24886,15464
"36099",2018,"Seneca","NA County","B19013H_001","White (Non-Hispanic)",55968,1822
"36099",2018,"Seneca","NA County","B19013I_001","Hispanic or Latino (Any Race)",35172,18786
"36117",2018,"Wayne","NA County","B19013B_001","Black (Non-Hispanic)",27692,11745
"36117",2018,"Wayne","NA County","B19013C_001","Native American (Non-Hispanic)",52159,26218
"36117",2018,"Wayne","NA County","B19013D_001","Asian (Non-Hispanic)",89205,38772
"36117",2018,"Wayne","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36117",2018,"Wayne","NA County","B19013F_001","Other (Non-Hispanic)",37548,20156
"36117",2018,"Wayne","NA County","B19013G_001","Two or More Races (Non-Hispanic)",58047,29671
"36117",2018,"Wayne","NA County","B19013H_001","White (Non-Hispanic)",56222,1656
"36117",2018,"Wayne","NA County","B19013I_001","Hispanic or Latino (Any Race)",50195,19605
"36123",2018,"Yates","NA County","B19013B_001","Black (Non-Hispanic)",NA,NA
"36123",2018,"Yates","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36123",2018,"Yates","NA County","B19013D_001","Asian (Non-Hispanic)",33438,20508
"36123",2018,"Yates","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36123",2018,"Yates","NA County","B19013F_001","Other (Non-Hispanic)",56250,46864
"36123",2018,"Yates","NA County","B19013G_001","Two or More Races (Non-Hispanic)",44688,24977
"36123",2018,"Yates","NA County","B19013H_001","White (Non-Hispanic)",55069,3023
"36123",2018,"Yates","NA County","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"36037",2019,"Genesee","NA County","B19013B_001","Black (Non-Hispanic)",31226,8204
"36037",2019,"Genesee","NA County","B19013C_001","Native American (Non-Hispanic)",37083,20734
"36037",2019,"Genesee","NA County","B19013D_001","Asian (Non-Hispanic)",NA,NA
"36037",2019,"Genesee","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36037",2019,"Genesee","NA County","B19013F_001","Other (Non-Hispanic)",32048,8429
"36037",2019,"Genesee","NA County","B19013G_001","Two or More Races (Non-Hispanic)",31566,1816
"36037",2019,"Genesee","NA County","B19013H_001","White (Non-Hispanic)",64033,2060
"36037",2019,"Genesee","NA County","B19013I_001","Hispanic or Latino (Any Race)",31913,2905
"36051",2019,"Livingston","NA County","B19013B_001","Black (Non-Hispanic)",27460,13054
"36051",2019,"Livingston","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36051",2019,"Livingston","NA County","B19013D_001","Asian (Non-Hispanic)",84107,41486
"36051",2019,"Livingston","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36051",2019,"Livingston","NA County","B19013F_001","Other (Non-Hispanic)",34437,13744
"36051",2019,"Livingston","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36051",2019,"Livingston","NA County","B19013H_001","White (Non-Hispanic)",60450,2509
"36051",2019,"Livingston","NA County","B19013I_001","Hispanic or Latino (Any Race)",46438,29795
"36055",2019,"Monroe","NA County","B19013B_001","Black (Non-Hispanic)",32005,1775
"36055",2019,"Monroe","NA County","B19013C_001","Native American (Non-Hispanic)",26762,3733
"36055",2019,"Monroe","NA County","B19013D_001","Asian (Non-Hispanic)",65884,5719
"36055",2019,"Monroe","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36055",2019,"Monroe","NA County","B19013F_001","Other (Non-Hispanic)",32210,2195
"36055",2019,"Monroe","NA County","B19013G_001","Two or More Races (Non-Hispanic)",41891,6430
"36055",2019,"Monroe","NA County","B19013H_001","White (Non-Hispanic)",69429,914
"36055",2019,"Monroe","NA County","B19013I_001","Hispanic or Latino (Any Race)",32224,2150
"36069",2019,"Ontario","NA County","B19013B_001","Black (Non-Hispanic)",28021,11523
"36069",2019,"Ontario","NA County","B19013C_001","Native American (Non-Hispanic)",76250,52683
"36069",2019,"Ontario","NA County","B19013D_001","Asian (Non-Hispanic)",109258,38517
"36069",2019,"Ontario","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36069",2019,"Ontario","NA County","B19013F_001","Other (Non-Hispanic)",30950,10698
"36069",2019,"Ontario","NA County","B19013G_001","Two or More Races (Non-Hispanic)",63611,34129
"36069",2019,"Ontario","NA County","B19013H_001","White (Non-Hispanic)",66584,1738
"36069",2019,"Ontario","NA County","B19013I_001","Hispanic or Latino (Any Race)",34619,5677
"36073",2019,"Orleans","NA County","B19013B_001","Black (Non-Hispanic)",40202,11542
"36073",2019,"Orleans","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36073",2019,"Orleans","NA County","B19013D_001","Asian (Non-Hispanic)",110852,19810
"36073",2019,"Orleans","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36073",2019,"Orleans","NA County","B19013F_001","Other (Non-Hispanic)",20219,5837
"36073",2019,"Orleans","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36073",2019,"Orleans","NA County","B19013H_001","White (Non-Hispanic)",53732,1745
"36073",2019,"Orleans","NA County","B19013I_001","Hispanic or Latino (Any Race)",25625,24393
"36099",2019,"Seneca","NA County","B19013B_001","Black (Non-Hispanic)",34539,11393
"36099",2019,"Seneca","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36099",2019,"Seneca","NA County","B19013D_001","Asian (Non-Hispanic)",8947,6807
"36099",2019,"Seneca","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36099",2019,"Seneca","NA County","B19013F_001","Other (Non-Hispanic)",36314,11208
"36099",2019,"Seneca","NA County","B19013G_001","Two or More Races (Non-Hispanic)",17500,17237
"36099",2019,"Seneca","NA County","B19013H_001","White (Non-Hispanic)",55636,2624
"36099",2019,"Seneca","NA County","B19013I_001","Hispanic or Latino (Any Race)",42708,26724
"36117",2019,"Wayne","NA County","B19013B_001","Black (Non-Hispanic)",24615,17022
"36117",2019,"Wayne","NA County","B19013C_001","Native American (Non-Hispanic)",56250,12189
"36117",2019,"Wayne","NA County","B19013D_001","Asian (Non-Hispanic)",69783,25746
"36117",2019,"Wayne","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36117",2019,"Wayne","NA County","B19013F_001","Other (Non-Hispanic)",34390,7061
"36117",2019,"Wayne","NA County","B19013G_001","Two or More Races (Non-Hispanic)",52159,35435
"36117",2019,"Wayne","NA County","B19013H_001","White (Non-Hispanic)",60585,1817
"36117",2019,"Wayne","NA County","B19013I_001","Hispanic or Latino (Any Race)",39720,11592
"36123",2019,"Yates","NA County","B19013B_001","Black (Non-Hispanic)",NA,NA
"36123",2019,"Yates","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36123",2019,"Yates","NA County","B19013D_001","Asian (Non-Hispanic)",32955,16594
"36123",2019,"Yates","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36123",2019,"Yates","NA County","B19013F_001","Other (Non-Hispanic)",NA,NA
"36123",2019,"Yates","NA County","B19013G_001","Two or More Races (Non-Hispanic)",48125,14492
"36123",2019,"Yates","NA County","B19013H_001","White (Non-Hispanic)",57359,3087
"36123",2019,"Yates","NA County","B19013I_001","Hispanic or Latino (Any Race)",68125,44622
"36037",2020,"Genesee","NA County","B19013B_001","Black (Non-Hispanic)",40872,19774
"36037",2020,"Genesee","NA County","B19013C_001","Native American (Non-Hispanic)",44000,18145
"36037",2020,"Genesee","NA County","B19013D_001","Asian (Non-Hispanic)",43894,11288
"36037",2020,"Genesee","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36037",2020,"Genesee","NA County","B19013F_001","Other (Non-Hispanic)",46250,10643
"36037",2020,"Genesee","NA County","B19013G_001","Two or More Races (Non-Hispanic)",40208,16790
"36037",2020,"Genesee","NA County","B19013H_001","White (Non-Hispanic)",62767,3770
"36037",2020,"Genesee","NA County","B19013I_001","Hispanic or Latino (Any Race)",47708,11340
"36051",2020,"Livingston","NA County","B19013B_001","Black (Non-Hispanic)",29821,10771
"36051",2020,"Livingston","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36051",2020,"Livingston","NA County","B19013D_001","Asian (Non-Hispanic)",NA,NA
"36051",2020,"Livingston","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36051",2020,"Livingston","NA County","B19013F_001","Other (Non-Hispanic)",NA,NA
"36051",2020,"Livingston","NA County","B19013G_001","Two or More Races (Non-Hispanic)",51322,10827
"36051",2020,"Livingston","NA County","B19013H_001","White (Non-Hispanic)",61206,2176
"36051",2020,"Livingston","NA County","B19013I_001","Hispanic or Latino (Any Race)",54792,34041
"36055",2020,"Monroe","NA County","B19013B_001","Black (Non-Hispanic)",34010,2556
"36055",2020,"Monroe","NA County","B19013C_001","Native American (Non-Hispanic)",26833,3439
"36055",2020,"Monroe","NA County","B19013D_001","Asian (Non-Hispanic)",69181,9248
"36055",2020,"Monroe","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36055",2020,"Monroe","NA County","B19013F_001","Other (Non-Hispanic)",39221,6392
"36055",2020,"Monroe","NA County","B19013G_001","Two or More Races (Non-Hispanic)",43962,5348
