"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"3605537726",2017,"B17001C_FemPov","Native American (Non-Hispanic)",0,300,"Monroe","Irondequoit town","New York"
"3605537726",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Monroe","Irondequoit town","New York"
"3605537726",2017,"B17001F_FemPov","Other (Non-Hispanic)",35.1190476190476,17.5357725783991,"Monroe","Irondequoit town","New York"
"3605537726",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",18.8888888888889,12.6820294729035,"Monroe","Irondequoit town","New York"
"3605554474",2017,"B17001H_FemPov","White (Non-Hispanic)",4.3861582543531,1.37935656072264,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001B_FemPov","Black (Non-Hispanic)",5.98802395209581,7.65939357202466,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",42.6356589147287,34.8655672947618,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001D_FemPov","Asian (Non-Hispanic)",34.375,39.9268387248668,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001C_FemPov","Native American (Non-Hispanic)",0,100,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001F_FemPov","Other (Non-Hispanic)",0,123.529411764706,"Monroe","Ogden town","New York"
"3605554474",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",6.72268907563025,9.04495419673193,"Monroe","Ogden town","New York"
"3605557144",2017,"B17001H_FemPov","White (Non-Hispanic)",5.06833712984055,1.33652718896488,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001B_FemPov","Black (Non-Hispanic)",14.3884892086331,7.28962659367454,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",6.18686868686869,7.22845585632031,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001D_FemPov","Asian (Non-Hispanic)",0,4.37158469945355,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001C_FemPov","Native American (Non-Hispanic)",100,239.863966077071,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001F_FemPov","Other (Non-Hispanic)",0,88.8888888888889,"Monroe","Penfield town","New York"
"3605557144",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",5.6198347107438,8.41096711480013,"Monroe","Penfield town","New York"
"3605563000",2017,"B17001H_FemPov","White (Non-Hispanic)",22.598711057327,2.00600857182139,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001B_FemPov","Black (Non-Hispanic)",41.0804188015148,2.01428172220318,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",44.6988338504333,2.47112855005578,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001D_FemPov","Asian (Non-Hispanic)",33.28173374613,7.66930154010383,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001C_FemPov","Native American (Non-Hispanic)",48.0240549828179,10.0539241379907,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",28.5714285714286,24.9113379912933,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001F_FemPov","Other (Non-Hispanic)",48.7480438184663,5.81940774060619,"Monroe","Rochester city","New York"
"3605563000",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",42.4261339991677,6.75591250458647,"Monroe","Rochester city","New York"
"3605508246",2017,"B17001H_FemPov","White (Non-Hispanic)",7.91290115989468,2.51693772310128,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001B_FemPov","Black (Non-Hispanic)",34.1356673960613,14.5840852438538,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",6.38977635782748,5.74817792440527,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001D_FemPov","Asian (Non-Hispanic)",30.2513039355145,9.79390246920659,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001C_FemPov","Native American (Non-Hispanic)",32.1428571428571,46.5713212540572,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001F_FemPov","Other (Non-Hispanic)",0,22.2222222222222,"Monroe","Brighton town","New York"
"3605508246",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",10.4308390022676,15.111319585685,"Monroe","Brighton town","New York"
"3605500000",2017,"B17001H_FemPov","White (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001B_FemPov","Black (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001D_FemPov","Asian (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001C_FemPov","Native American (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001F_FemPov","Other (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605500000",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",0,0,"Monroe","County subdivisions not defined","New York"
"3605522870",2017,"B17001H_FemPov","White (Non-Hispanic)",9.7752808988764,3.6315587728828,"Monroe","East Rochester town","New York"
"3605522870",2017,"B17001B_FemPov","Black (Non-Hispanic)",32.4503311258278,36.1141406419611,"Monroe","East Rochester town","New York"
"3605522870",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",8.82352941176471,12.1465693958625,"Monroe","East Rochester town","New York"
"3605522870",2017,"B17001D_FemPov","Asian (Non-Hispanic)",100,489.897948556636,"Monroe","East Rochester town","New York"
"3605522870",2017,"B17001C_FemPov","Native American (Non-Hispanic)",0,0,"Monroe","East Rochester town","New York"
